Year,Tm,W,L,R/G,BA,OBP,SLG,OPS
2007,TBD,66,96,4.83,0.268,0.336,0.433,0.769
2007,TEX,75,87,5.04,0.263,0.32799999999999996,0.426,0.754
2007,TOR,83,79,4.65,0.259,0.327,0.419,0.746
2007,WSN,73,89,4.15,0.256,0.325,0.39,0.715
2008,ARI,82,80,4.44,0.251,0.327,0.415,0.742
2008,ATL,72,90,4.65,0.27,0.345,0.408,0.753
2008,BAL,68,93,4.86,0.267,0.33299999999999996,0.429,0.762
2008,BOS,95,67,5.22,0.28,0.358,0.447,0.805
2008,CHW,89,74,4.98,0.263,0.332,0.44799999999999995,0.78
2008,CHC,97,64,5.31,0.278,0.354,0.44299999999999995,0.797
2008,CIN,74,88,4.35,0.247,0.321,0.408,0.7290000000000001
2008,CLE,81,81,4.97,0.262,0.33899999999999997,0.424,0.763
2008,COL,74,88,4.61,0.263,0.336,0.415,0.7509999999999999
2008,DET,74,88,5.07,0.271,0.34,0.444,0.784
2008,FLA,84,77,4.78,0.254,0.326,0.433,0.759
2008,HOU,86,75,4.42,0.263,0.32299999999999995,0.415,0.737
2008,KCR,75,87,4.27,0.26899999999999996,0.32,0.397,0.7170000000000001
2008,LAA,100,62,4.72,0.268,0.33,0.413,0.743
2008,LAD,84,78,4.32,0.264,0.33299999999999996,0.39899999999999997,0.732
2008,MIL,90,72,4.63,0.253,0.325,0.431,0.757
2008,MIN,88,75,5.09,0.27899999999999997,0.34,0.408,0.748
2008,NYY,89,73,4.87,0.271,0.342,0.42700000000000005,0.769
2008,NYM,89,73,4.93,0.266,0.34,0.42,0.7609999999999999
2008,OAK,75,86,4.01,0.242,0.318,0.369,0.6859999999999999
2008,PHI,92,70,4.93,0.255,0.332,0.43799999999999994,0.77
2008,PIT,67,95,4.54,0.258,0.32,0.40299999999999997,0.723
2008,SDP,63,99,3.93,0.25,0.317,0.39,0.7070000000000001
2008,SEA,61,101,4.14,0.265,0.318,0.389,0.7070000000000001
2008,SFG,72,90,3.95,0.262,0.321,0.382,0.703
2008,STL,86,76,4.81,0.281,0.35,0.433,0.7829999999999999
2008,TBR,97,65,4.78,0.26,0.34,0.42200000000000004,0.762
2008,TEX,79,83,5.56,0.28300000000000003,0.354,0.462,0.816
2008,TOR,86,76,4.41,0.264,0.331,0.39899999999999997,0.731
2008,WSN,59,102,3.98,0.251,0.32299999999999995,0.373,0.696
2009,ARI,70,92,4.44,0.253,0.324,0.418,0.742
2009,ATL,86,76,4.54,0.263,0.33899999999999997,0.405,0.7440000000000001
2009,BAL,64,98,4.57,0.268,0.332,0.415,0.747
2009,BOS,95,67,5.38,0.27,0.35200000000000004,0.45399999999999996,0.8059999999999999
2009,CHW,79,83,4.47,0.258,0.32899999999999996,0.41100000000000003,0.74
2009,CHC,83,78,4.39,0.255,0.332,0.40700000000000003,0.738
2009,CIN,78,84,4.15,0.247,0.318,0.39399999999999996,0.7120000000000001
2009,CLE,65,97,4.77,0.264,0.33899999999999997,0.41700000000000004,0.7559999999999999
2009,COL,92,70,4.96,0.261,0.34299999999999997,0.441,0.784
2009,DET,86,77,4.56,0.26,0.331,0.41600000000000004,0.747
2009,FLA,87,75,4.77,0.268,0.34,0.41600000000000004,0.7559999999999999
2009,HOU,74,88,3.97,0.26,0.319,0.4,0.7190000000000001
2009,KCR,65,97,4.23,0.259,0.318,0.405,0.7240000000000001
2009,LAA,97,65,5.45,0.285,0.35,0.441,0.792
2009,LAD,95,67,4.81,0.27,0.34600000000000003,0.41200000000000003,0.758
2009,MIL,80,82,4.85,0.263,0.341,0.426,0.767
2009,MIN,87,76,5.01,0.27399999999999997,0.345,0.429,0.774
2009,NYY,103,59,5.65,0.28300000000000003,0.36200000000000004,0.478,0.8390000000000001
2009,NYM,70,92,4.14,0.27,0.335,0.39399999999999996,0.7290000000000001
2009,OAK,75,87,4.69,0.262,0.32799999999999996,0.397,0.726
2009,PHI,93,69,5.06,0.258,0.33399999999999996,0.447,0.7809999999999999
2009,PIT,62,99,3.95,0.252,0.318,0.387,0.705
2009,SDP,75,87,3.94,0.242,0.321,0.381,0.701
2009,SEA,85,77,3.95,0.258,0.314,0.402,0.716
2009,SFG,88,74,4.06,0.257,0.309,0.389,0.6990000000000001
2009,STL,91,71,4.51,0.263,0.332,0.415,0.747
2009,TBR,84,78,4.96,0.263,0.34299999999999997,0.439,0.782
2009,TEX,87,75,4.84,0.26,0.32,0.445,0.764
2009,TOR,75,87,4.93,0.266,0.33299999999999996,0.44,0.773
2009,WSN,59,103,4.38,0.258,0.337,0.406,0.743
2010,ARI,65,97,4.4,0.25,0.325,0.41600000000000004,0.74
2010,ATL,91,71,4.56,0.258,0.33899999999999997,0.401,0.74
2010,BAL,66,96,3.78,0.259,0.316,0.386,0.7020000000000001
2010,BOS,89,73,5.05,0.268,0.33899999999999997,0.451,0.79
2010,CHW,88,74,4.64,0.268,0.332,0.42,0.752
